1,51 Construction Ltd.,10,10,"100 Dynamic Dr.Unit 27,Scarborough,On M1V 5C4",TEL:416.292.9788 ,FAX:416.352.1447,,NULL,NULL,NULL
2,A1 Master Counter,10,5,,TEL:416.726.1850,,,NULL,NULL,NULL
3,AC Projects,5,0,3487 Kennedy Rd. Unit#1,TEL:647.922.6262,FAX:416.754.6885,,NULL,NULL,NULL
4,Ada Cabinet,15,10,"861 Denison St,Unit 104,Markham",TEL:905.940.1818,FAX: 905.940.8726,,NULL,NULL,NULL
5,Adesso Kitchen,15,10,"111 Millwick Dr,NY,On M9L 1Y4",TEL:416.741.8777,FAX:416.741.8771,,NULL,NULL,NULL
6,Annex Kitchen & Bath Co Ltd.,15,5,"1361 Huntingwood Dr, Scarborough, ON M1S 3J1",TEL:416.335.8884,FAX:416.335.8894,,NULL,NULL,NULL
7,Arto Kitchen & Bath,15,10,"555 Denison Street, Unit A, Markham ON",TEL:416.800.5788,FAX:416.496.0333,,NULL,NULL,NULL
8,B Wood Kitchen Cabinet & Carpentry,15,10,"31 Passmore Ave, Scarborough ON M1V 4T6",TEL:416.299.1988,,,NULL,NULL,NULL
9,Bax Canada Ltd,15,15,"1650 Midland Ave, Scarborough, ON M1P 3C2",TEL:416.901.4327 ,FAX:416.901.9328,,NULL,NULL,NULL
10,Beyond Kitchens And Baths,10,10,136 Watline Ave Unit 5 Mississauga ON L4Z 2E2,TEL:905.507.1666,FAX: 905.507.1110,,NULL,NULL,NULL
11,Biao Zhun Kitchen,10,10,,TEL:416.509.6221,FAX:9058318801,,NULL,NULL,NULL
12,C2C Cabinetry,10,10,"13-4490 Sheppard Ave E., Scarborough, ON",TEL:416.609.9993,FAX:416.609.9985,,NULL,NULL,NULL
13,Can XL Realty Ltd,10,10,,TEL:905.839.8777,Fax:905.839.6643,,NULL,NULL,NULL
14,Great Wall Woodworking Ltd,10,10,"30 Royal Crest Court, Unit 3A, Markharm",TEL:905.948.2807,,,NULL,NULL,NULL
15,Concept Millwork & Renovation,10,10,585 Middlefield Rd Unit 29 Scarborough ON M1V 4Y5,TEL: 416.335.6622/ CELL: 647.293.1120,,,NULL,NULL,NULL
16,C-Wood Kitchens Inc.,10,10,2360 Midland Ave Scarborough ON M1S 4A9,TEL:416.321.1688,FAX: 416.321.6188,,NULL,NULL,NULL
17,DJL Kitchen Design,15,15,"7330 Victoria Park Ave Unit C, Markham, ON L3R 1J1",TEL:905.604.1983,FAX: 905.604.1282,,NULL,NULL,NULL
18,EMCO Custom Cabinets Inc.,10,5,3A-9120 Leilie St. Richmond Hill Ont. L4B 3J9,TEL:647.226.1268,FAX:905.581.0256,,NULL,NULL,NULL
19,Everest Kitchen,5,0,,TEL:416.755.3300,,,NULL,NULL,NULL
20,Fine Art Millwork,0,0,"40 Ferrier St, Markham, On L3R 2Z5",TEL:905.940.3135,,,NULL,NULL,NULL
21,Francis,0,0,,TEL: 416.300.6951,flwilliam@live.com,,NULL,NULL,NULL
22,GANI Kitchens,10,5,"1285 Britannia Road E,Missisauga,L4W 1C7",TEL:416.684.0698,gani@ganikitchens.com,,NULL,NULL,NULL
23,GNC Kitchens,15,10,"1399 Kennedy Road, Unit 14 Toronto, ON M1P 2L6",TEL:416.677.1688,Fax: 416.759.6777,,NULL,NULL,NULL
24,Gold Palace Woodwork Inc,10,5,"161 Alden Road. Unit 2-3 Markharm, On L3R 3W7",TEL:905.479.9777,FAX:905.479.9792,,NULL,NULL,NULL
25,Golden Summit Woodworking Inc,15,15,"3251 Kennedy, Scarborough, ON M1V 2J9",TEL:416.293.7272,FAX:416.293.5756,,NULL,NULL,NULL
26,GRA Wood Working,10,5,,TEL: 416.629.6248,FAX: 416.332.2587,,NULL,NULL,NULL
27,Highcraft,0,0,,TEL:416.266.8971,FAX:416.266.7814,,NULL,NULL,NULL
28,Homey Kitchen Cabinet Design Inc.,10,5,"3200 14th. Avenue, Unit 4, Markham, ON, CA L3R 0H8 ",TEL:905.940.1448,Fax:905.940.9188,,NULL,NULL,NULL
29,Jake's Kitchen Cabinet,10,5,"2-79 Milliken Blvd, Scarb., On, M1V 1V3",TEL:647.205.1222,FAX:647.694.4846,,NULL,NULL,NULL
30,Jeyan Wood,10,5,"6-160 Finchdene Sq, Toronto, ON, M1X 1B2",TEL:647.242.3235,hello@jeyanwood.com,,NULL,NULL,NULL
